,Timestamp,Time at Apple,Current Role,Years in Current Role,Current Hourly Rate,Annual Salary,RSU Grant,Age,State/Province,Ethnicity,Gender,State Count
637,5/11/2022 20:14:37,2-5 years,Operations Specialist,0-1 years,21.16,"$44,000","$1,500",21-30,TX,Hispanic or Latino or Spanish Origin of any race,Woman,1
696,7/1/2022 14:25:18,10-15 years,sps senior advisor ,2-5 years,23.71,"49,000","2,000",31-40,TX,Hispanic or Latino or Spanish Origin of any race,Woman,1
235,4/20/2022 10:53:17,2-5 years,Expert,0-1 years,23.38,"$36,472.00","$3,500.00",21-30,TX,Hispanic or Latino or Spanish Origin of any race,Man,1
326,4/21/2022 12:29:36,6-10 years,support experience leader,2-5 years,39.0,82,10000,31-40,TX,Hispanic or Latino or Spanish Origin of any race,Man,1
261,4/20/2022 17:28:19,6-10 years,Technical Expert,2-5 years,28.0,58240,"$1,500",41-50,TN,White,Man,1
145,4/19/2022 8:18:29,6-10 years,Pro,2-5 years,28.76,"$59,873.00","$2,500.00",31-40,TX,White,Man,1
273,4/20/2022 20:54:15,6-10 years,Lead Genius,0-1 years,36.0,"74,880","3,000",31-40,TX,White,Man,1
658,5/25/2022 1:51:06,2-5 years,Technical Expert,2-5 years,25.05,50003,"$2,000",21-30,TX,Black or African American,Man,1
393,4/22/2022 8:41:24,10-15 years,process analyst,0-1 years,60.1,"$89,000","$3,000",31-40,TX,White,Man,1
301,4/21/2022 8:40:23,2-5 years,applecare senior advisor ,0-1 years,24.0,"50,365.00","3,500",21-30,TX,Black or African American,Woman,1
661,5/26/2022 8:49:39,6-10 years,Genius,2-5 years,26.35,"$55,000","$2,000",31-40,TX,Asian,Man,1
214,4/19/2022 23:24:41,2-5 years,senior customer service,2-5 years,21.5,"$48,656.00","$2,300.00",31-40,TX,White,Man,1
56,4/18/2022 17:35:49,2-5 years,Specialist,2-5 years,20.55,"$43,000.00","$3,000",21-30,TX,Hispanic or Latino or Spanish Origin of any race,Man,1
278,4/20/2022 21:41:29,2-5 years,Specialist,2-5 years,23.78,"49,900","$2,000",21-30,TX,Black or African American,Man,1
118,4/18/2022 23:30:03,10-15 years,Creative Pro,2-5 years,28.01,"$58,600.00","$2,000.00",31-40,TX,White,Woman,1
575,4/28/2022 18:04:38,2-5 years,Technical Expert,0-1 years,23.73,49990,2000,21-30,TX,Black or African American,Man,1
459,4/22/2022 22:53:14,2-5 years,Expert,2-5 years,21.65,"$45,000","$2,000",21-30,TX,Hispanic or Latino or Spanish Origin of any race,Woman,1
57,4/18/2022 17:47:25,10-15 years,Genius,9-11 years,31.0,"$63,000.00","$2,000",31-40,TX,Hispanic or Latino or Spanish Origin of any race,Man,1
